date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:09:49	707/707	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2004%20Jun%202024%2017:09:48%20GMT	https://duruthemes.com/demo/html/cappa/demo1-light	/storage/emulated/0/HTTrack/Websites/hotel2/duruthemes.com/demo/html/cappa/demo1-light.0.delayed	(from )
20:09:49	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2004%20Jun%202024%2017:09:49%20GMT	https://duruthemes.com/robots.txt		(from )
20:09:51	58311/58311	---M-Z	200	added ('OK')	text/html	date:Sun,%2007%20Jan%202024%2000:24:10%20GMT	https://duruthemes.com/demo/html/cappa/demo1-light/	/storage/emulated/0/HTTrack/Websites/hotel2/duruthemes.com/demo/html/cappa/demo1-light/index.html	(from )
20:09:51	5993/5993	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Jan%202024%2000:24:12%20GMT	https://duruthemes.com/demo/html/cappa/demo1-light/img/favicon.png	/storage/emulated/0/HTTrack/Websites/hotel2/duruthemes.com/demo/html/cappa/demo1-light/img/favicon.png	(from https://duruthemes.com/demo/html/cappa/demo1-light/)
20:09:52	869/869	---M-Z	200	added ('OK')	text/css	date:Sun,%2007%20Jan%202024%2000:24:11%20GMT	https://duruthemes.com/demo/html/cappa/demo1-light/css/plugins.css	/storage/emulated/0/HTTrack/Websites/hotel2/duruthemes.com/demo/html/cappa/demo1-light/css/plugins.css	(from https://duruthemes.com/demo/html/cappa/demo1-light/)
20:09:53	117163/117163	---M-Z	200	added ('OK')	text/css	date:Sun,%2007%20Jan%202024%2000:24:11%20GMT	https://duruthemes.com/demo/html/cappa/demo1-light/css/style.css	/storage/emulated/0/HTTrack/Websites/hotel2/duruthemes.com/demo/html/cappa/demo1-light/css/style.css	(from https://duruthemes.com/demo/html/cappa/demo1-light/)
20:09:54	58311/58311	---M-Z	200	added ('OK')	text/html	date:Sun,%2007%20Jan%202024%2000:24:10%20GMT	https://duruthemes.com/demo/html/cappa/demo1-light/index.html	/storage/emulated/0/HTTrack/Websites/hotel2/duruthemes.com/demo/html/cappa/demo1-light/index-2.html	(from https://duruthemes.com/demo/html/cappa/demo1-light/)
20:09:55	9165/9165	---M--	200	added ('OK')	image/png	date:Sun,%2007%20Jan%202024%2000:24:13%20GMT	https://duruthemes.com/demo/html/cappa/demo1-light/img/logo.png	/storage/emulated/0/HTTrack/Websites/hotel2/duruthemes.com/demo/html/cappa/demo1-light/img/logo.png	(from https://duruthemes.com/demo/html/cappa/demo1-light/)
20:09:56	59969/59969	---M-Z	200	added ('OK')	text/html	date:Sun,%2007%20Jan%202024%2000:24:10%20GMT	https://duruthemes.com/demo/html/cappa/demo1-light/index2.html	/storage/emulated/0/HTTrack/Websites/hotel2/duruthemes.com/demo/html/cappa/demo1-light/index2.html	(from https://duruthemes.com/demo/html/cappa/demo1-light/)
20:09:57	63718/63718	---M-Z	200	added ('OK')	text/html	date:Sun,%2007%20Jan%202024%2000:24:09%20GMT	https://duruthemes.com/demo/html/cappa/demo1-light/index3.html	/storage/emulated/0/HTTrack/Websites/hotel2/duruthemes.com/demo/html/cappa/demo1-light/index3.html	(from https://duruthemes.com/demo/html/cappa/demo1-light/)
